Time,target_cpu,__cpu,curr_state,next_state,t_start,t_delta
0.069485,,3.0,S,W,0.069485,7.9999999798e-06
0.069493,3.0,,W,A,0.069493,0.000456000000213
0.0699490000002,,3.0,A,R,0.0699490000002,0.000596999999743
0.0705459999999,,3.0,R,A,0.0705459999999,0.000201000000288
0.0707470000002,,3.0,A,R,0.0707470000002,9.49999998738e-05
0.0708420000001,,3.0,R,A,0.0708420000001,1.50000000758e-05
0.0708570000002,,3.0,A,R+,0.0708570000002,0.000115999999707
0.0709729999999,,3.0,R+,A,0.0709729999999,0.000127000000248
0.0711000000001,,3.0,A,S,0.0711000000001,1.79999997272e-05
0.0711179999998,,3.0,S,W,0.0711179999998,0.00531200000023
0.0764300000001,3.0,,W,A,0.0764300000001,4.89999997626e-05
0.0764789999998,,3.0,A,R+,0.0764789999998,0.00101600000016
0.077495,,3.0,R+,A,0.077495,0.00017600000001
0.077671,,3.0,A,S,0.077671,0.000140000000101
0.0778110000001,,3.0,S,W,0.0778110000001,0.00793999999996
0.0857510000001,3.0,,W,A,0.0857510000001,0.00036399999999
0.0861150000001,,3.0,A,S,0.0861150000001,3.50000000253e-05
0.0861500000001,,3.0,S,W,0.0861500000001,3.9999999899e-05
0.08619,3.0,,W,A,0.08619,7.9999999798e-06
0.086198,,3.0,A,R+,0.086198,0.000556999999844
0.0867549999998,,3.0,R+,A,0.0867549999998,9.30000001063e-05
0.0868479999999,,3.0,A,S,0.0868479999999,1.50000000758e-05
0.086863,,3.0,S,W,0.086863,0.00502899999992
0.0918919999999,3.0,,W,A,0.0918919999999,0.00039599999991
0.0922879999998,,3.0,A,R+,0.0922879999998,0.00109800000018
0.093386,,3.0,R+,A,0.093386,0.000192999999854
0.0935789999999,,3.0,A,S,0.0935789999999,0.000162000000273
0.0937410000001,,3.0,S,W,0.0937410000001,0.00871699999971
0.102458,3.0,,W,A,0.102458,0.000332999999955
0.102791,,3.0,A,R+,0.102791,0.000582000000122
0.103373,,3.0,R+,A,0.103373,0.000152999999955
0.103526,,3.0,A,S,0.103526,1.4000000192e-05
0.10354,,3.0,S,W,0.10354,0.00536199999988
0.108902,3.0,,W,A,0.108902,5.19999998687e-05
0.108954,,3.0,A,R+,0.108954,0.00129800000013
0.110252,,3.0,R+,A,0.110252,0.000223999999889
0.110476,,3.0,A,S,0.110476,0.000194000000192
0.11067,,3.0,S,W,0.11067,0.0257080000001
0.136378,3.0,,W,A,0.136378,1.99999999495e-05
0.136398,,3.0,A,S,0.136398,3.2999999803e-05
